rk,player,age,team,pos,g,gs,tgt,rec,yds,y/r,td,1d,succ%,lng,r/g,y/g,ctch%,y/tgt,fmb,awards
72.0,Jahmyr Gibbs,21.0,DET,RB,15.0,3.0,71.0,52.0,316.0,6.1,1.0,20.0,46.5,24.0,3.5,21.1,73.2,4.5,2.0,"PB,AP ORoY-4"
73.0,Joe Mixon,27.0,CIN,RB,17.0,17.0,64.0,52.0,376.0,7.2,3.0,14.0,54.7,45.0,3.1,22.1,81.3,5.9,0.0,
74.0,Tyjae Spears,22.0,TEN,RB,17.0,1.0,70.0,52.0,385.0,7.4,1.0,17.0,34.3,48.0,3.1,22.6,74.3,5.5,1.0,
75.0,Darren Waller,31.0,NYG,TE,12.0,11.0,74.0,52.0,552.0,10.6,1.0,25.0,56.8,29.0,4.3,46.0,70.3,7.5,0.0,
76.0,Marquise Brown,26.0,ARI,WR,14.0,14.0,101.0,51.0,574.0,11.3,4.0,32.0,42.6,41.0,3.6,41.0,50.5,5.7,0.0,
77.0,Austin Ekeler,28.0,LAC,RB,14.0,14.0,74.0,51.0,436.0,8.5,1.0,20.0,43.2,39.0,3.6,31.1,68.9,5.9,5.0,
78.0,Ezekiel Elliott,28.0,NWE,RB,17.0,5.0,65.0,51.0,313.0,6.1,2.0,12.0,40.0,23.0,3.0,18.4,78.5,4.8,2.0,
79.0,Gerald Everett,29.0,LAC,TE,15.0,12.0,70.0,51.0,411.0,8.1,3.0,25.0,50.0,31.0,3.4,27.4,72.9,5.9,3.0,
80.0,Diontae Johnson,27.0,PIT,WR,13.0,11.0,87.0,51.0,717.0,14.1,5.0,37.0,52.9,71.0,3.9,55.2,58.6,8.2,1.0,
81.0,Samaje Perine,28.0,DEN,RB,17.0,1.0,56.0,50.0,455.0,9.1,0.0,23.0,67.9,29.0,2.9,26.8,89.3,8.1,3.0,
82.0,Darius Slayton,26.0,NYG,WR,17.0,13.0,79.0,50.0,770.0,15.4,4.0,29.0,49.4,80.0,2.9,45.3,63.3,9.7,0.0,
83.0,Jonnu Smith,28.0,ATL,TE,17.0,6.0,70.0,50.0,582.0,11.6,3.0,26.0,51.4,60.0,2.9,34.2,71.4,8.3,1.0,
84.0,Jahan Dotson,23.0,WAS,WR,17.0,16.0,83.0,49.0,518.0,10.6,4.0,27.0,48.2,33.0,2.9,30.5,59.0,6.2,0.0,
85.0,Demario Douglas,23.0,NWE,WR,14.0,7.0,79.0,49.0,561.0,11.4,0.0,26.0,45.6,42.0,3.5,40.1,62.0,7.1,3.0,
86.0,Antonio Gibson,25.0,WAS,RB,16.0,2.0,59.0,48.0,389.0,8.1,2.0,19.0,44.1,41.0,3.0,24.3,81.4,6.6,4.0,
87.0,K.J. Osborn,26.0,MIN,WR,16.0,12.0,75.0,48.0,540.0,11.3,3.0,28.0,45.3,47.0,3.0,33.8,64.0,7.2,1.0,
88.0,Tank Dell,24.0,HOU,WR,11.0,8.0,75.0,47.0,709.0,15.1,7.0,34.0,54.7,68.0,4.3,64.5,62.7,9.5,1.0,
89.0,Tyler Higbee,30.0,LAR,TE,15.0,15.0,70.0,47.0,495.0,10.5,2.0,26.0,57.1,33.0,3.1,33.0,67.1,7.1,0.0,
90.0,Cade Otton,24.0,TAM,TE,17.0,17.0,67.0,47.0,455.0,9.7,4.0,22.0,49.3,27.0,2.8,26.8,70.1,6.8,1.0,
91.0,Javonte Williams,23.0,DEN,RB,16.0,13.0,58.0,47.0,228.0,4.9,2.0,10.0,48.3,18.0,2.9,14.3,81.0,3.9,1.0,
92.0,Rashid Shaheed,25.0,NOR,WR,15.0,8.0,75.0,46.0,719.0,15.6,5.0,27.0,46.7,58.0,3.1,47.9,61.3,9.6,1.0,"PB,AP-1"
93.0,Mark Andrews,28.0,BAL,TE,10.0,9.0,61.0,45.0,544.0,12.1,6.0,27.0,62.3,38.0,4.5,54.4,73.8,8.9,1.0,
94.0,Gabriel Davis,24.0,BUF,WR,17.0,17.0,81.0,45.0,746.0,16.6,7.0,34.0,53.1,57.0,2.6,43.9,55.6,9.2,1.0,
95.0,James Cook,24.0,BUF,RB,17.0,13.0,54.0,44.0,445.0,10.1,4.0,16.0,59.3,48.0,2.6,26.2,81.5,8.2,4.0,PB
96.0,Jerome Ford,24.0,CLE,RB,17.0,12.0,63.0,44.0,319.0,7.3,5.0,16.0,41.3,50.0,2.6,18.8,69.8,5.1,1.0,
97.0,Isiah Pacheco,24.0,KAN,RB,14.0,13.0,49.0,44.0,244.0,5.5,2.0,12.0,44.9,33.0,3.1,17.4,89.8,5.0,1.0,
98.0,Jonathan Mingo,22.0,CAR,WR,15.0,14.0,85.0,43.0,418.0,9.7,0.0,15.0,32.9,40.0,2.9,27.9,50.6,4.9,1.0,
99.0,Hunter Henry,29.0,NWE,TE,14.0,10.0,61.0,42.0,419.0,10.0,6.0,29.0,63.9,24.0,3.0,29.9,68.9,6.9,1.0,
100.0,Tee Higgins,24.0,CIN,WR,12.0,11.0,76.0,42.0,656.0,15.6,5.0,33.0,53.9,80.0,3.5,54.7,55.3,8.6,0.0,
101.0,Saquon Barkley,26.0,NYG,RB,14.0,14.0,60.0,41.0,280.0,6.8,4.0,16.0,43.3,46.0,2.9,20.0,68.3,4.7,2.0,
